firm name,website,ticker,hq country,hq state,hq city,permno,score,pbid,firm name from pitchbook,website from pitchbook,company profile,investor profile,limited partner profile,service provider profile,unnamed: 14
TRINITY INDUSTRIES INC,trin.net,TRN,USA,TX,Dallas,55001,Very High,25041-97,Trinity Industries,www.trin.net,Yes,Yes,No,Yes,true
TRINITY PLACE HOLDINGS INC,tphs.com,TPHS,USA,NY,New York,65429,Very High,41947-39,Trinity Place Holdings,www.tphs.com,Yes,Yes,No,No,true
TRINSEO PLC,trinseo.com,TSE,USA,PA,Wayne,22174,Very High,42456-43,Trinseo,www.trinseo.com,Yes,Yes,No,No,true
TRINSEO PLC,trinseo.com,TSE,USA,PA,Wayne,14755,Very High,42456-43,Trinseo,www.trinseo.com,Yes,Yes,No,No,true
TRIPADVISOR INC,tripadvisor.com,TRIP,USA,MA,Needham,13168,Very High,52639-57,TripAdvisor,www.tripadvisor.com,Yes,Yes,No,No,true
TRIPLE-S MANAGEMENT CORP,grupotriples.com,GTS,USA,PR,San Juan,92506,Very High,41526-10,Triple-S Management,www.management.grupotriples.com,Yes,Yes,Yes,No,true
TRISTATE CAPITAL HLDGS INC,,TSC,USA,PA,Pittsburgh,13943,Very High,14197-15,TriState Capital Bank,www.tristatecapitalbank.com,Yes,Yes,No,Yes,false
TRITON INTERNATIONAL LTD,tritoninternational.com,TRTN,BMU,,Hamilton,16143,Very High,51063-76,Triton International,www.tritoninternational.com,Yes,Yes,No,No,true
TRIUMPH FINANCIAL INC,tfin.com,TFIN,USA,TX,Dallas,15084,,,,,,,,,
TRIUMPH GROUP INC,triumphgroup.com,TGI,USA,PA,Berwyn,84041,Very High,11376-82,Triumph Group,www.triumphgroup.com,Yes,Yes,No,No,true
TRONOX HOLDINGS PLC,tronox.com,TROX,USA,CT,Stamford,13452,Very High,41906-98,Tronox,www.tronox.com,Yes,Yes,No,No,true
